año,ciudad,espectadores_nacional_m,estrenos_total,taquilla_m_cop,precio_boleta_real,indice_asistencia,pantallas,recuperacion_nacional_pct,espectadores_ciudad_m,recuperacion_ciudad_pct,estrenos_col,espectadores_col_m,participacion_col_pct,taquilla_col_m_cop
2010,Barranquilla,33.66,206,0.46272329213004215,1.0,0.41463414634146345,588,46.0,1.47,53.8,10,1.53,0.46478873239436613,13647
2010,Bogotá,33.66,206,0.46272329213004215,1.0,0.41463414634146345,588,46.0,14.91,63.1,10,1.53,0.46478873239436613,13647
2010,Bucaramanga,33.66,206,0.46272329213004215,1.0,0.41463414634146345,588,46.0,0.91,28.8,10,1.53,0.46478873239436613,13647
2010,Cali,33.66,206,0.46272329213004215,1.0,0.41463414634146345,588,46.0,3.34,51.9,10,1.53,0.46478873239436613,13647
2010,Medellín,33.66,206,0.46272329213004215,1.0,0.41463414634146345,588,46.0,3.59,50.1,10,1.53,0.46478873239436613,13647
2010,Nacional,33.66,206,0.46272329213004215,1.0,0.41463414634146345,588,46.0,3.825,69.9,10,1.53,0.46478873239436613,13647
2011,Barranquilla,38.01,206,0.5296624946719882,0.8670973696354407,0.4878048780487805,643,52.0,1.65,60.4,18,2.99,0.9436619718309858,26804
2011,Bogotá,38.01,206,0.5296624946719882,0.8670973696354407,0.4878048780487805,643,52.0,16.16,68.4,18,2.99,0.9436619718309858,26804
2011,Bucaramanga,38.01,206,0.5296624946719882,0.8670973696354407,0.4878048780487805,643,52.0,1.46,46.2,18,2.99,0.9436619718309858,26804
2011,Cali,38.01,206,0.5296624946719882,0.8670973696354407,0.4878048780487805,643,52.0,3.83,59.5,18,2.99,0.9436619718309858,26804
2011,Medellín,38.01,206,0.5296624946719882,0.8670973696354407,0.4878048780487805,643,52.0,3.82,53.4,18,2.99,0.9436619718309858,26804
2011,Nacional,38.01,206,0.5296624946719882,0.8670973696354407,0.4878048780487805,643,52.0,3.825,69.9,18,2.99,0.9436619718309858,26804
2012,Barranquilla,40.85,213,0.5955748440345642,0.9261652053530227,0.5365853658536586,704,55.9,1.75,64.1,23,3.39,1.0,30529
2012,Bogotá,40.85,213,0.5955748440345642,0.9261652053530227,0.5365853658536586,704,55.9,17.2,72.8,23,3.39,1.0,30529
2012,Bucaramanga,40.85,213,0.5955748440345642,0.9261652053530227,0.5365853658536586,704,55.9,1.56,49.4,23,3.39,1.0,30529
2012,Cali,40.85,213,0.5955748440345642,0.9261652053530227,0.5365853658536586,704,55.9,4.16,64.6,23,3.39,1.0,30529
2012,Medellín,40.85,213,0.5955748440345642,0.9261652053530227,0.5365853658536586,704,55.9,3.83,53.5,23,3.39,1.0,30529
2012,Nacional,40.85,213,0.5955748440345642,0.9261652053530227,0.5365853658536586,704,55.9,3.825,69.9,23,3.39,1.0,30529
2013,Barranquilla,43.28,244,0.6391289185104816,0.8994000922934928,0.5691056910569106,790,59.2,1.86,68.1,17,2.17,0.5352112676056338,19598
2013,Bogotá,43.28,244,0.6391289185104816,0.8994000922934928,0.5691056910569106,790,59.2,17.86,75.6,17,2.17,0.5352112676056338,19598
2013,Bucaramanga,43.28,244,0.6391289185104816,0.8994000922934928,0.5691056910569106,790,59.2,2.01,63.6,17,2.17,0.5352112676056338,19598
2013,Cali,43.28,244,0.6391289185104816,0.8994000922934928,0.5691056910569106,790,59.2,4.32,67.1,17,2.17,0.5352112676056338,19598
2013,Medellín,43.28,244,0.6391289185104816,0.8994000922934928,0.5691056910569106,790,59.2,3.91,54.6,17,2.17,0.5352112676056338,19598
2013,Nacional,43.28,244,0.6391289185104816,0.8994000922934928,0.5691056910569106,790,59.2,3.825,69.9,17,2.17,0.5352112676056338,19598
2014,Barranquilla,46.53,274,0.6841554616964389,0.8006460544531606,0.6178861788617886,870,63.6,2.13,78.0,28,2.21,0.49295774647887314,19054
2014,Bogotá,46.53,274,0.6841554616964389,0.8006460544531606,0.6178861788617886,870,63.6,18.1,76.6,28,2.21,0.49295774647887314,19054
2014,Bucaramanga,46.53,274,0.6841554616964389,0.8006460544531606,0.6178861788617886,870,63.6,2.18,69.0,28,2.21,0.49295774647887314,19054
