año,ciudad,espectadores_nacional_M,estrenos_total,taquilla_M_COP,precio_boleta_real,indice_asistencia,pantallas,recuperacion_nacional_pct,espectadores_ciudad_M,recuperacion_ciudad_pct,estrenos_col,espectadores_col_M,participacion_col_pct,taquilla_col_M_COP
2010,Barranquilla,33.66,206,351.38,10441,0.76,588,46.0,1.47,53.8,10,1.53,4.5,13647
2010,Bogotá,33.66,206,351.38,10441,0.76,588,46.0,14.91,63.1,10,1.53,4.5,13647
2010,Bucaramanga,33.66,206,351.38,10441,0.76,588,46.0,0.91,28.8,10,1.53,4.5,13647
2010,Cali,33.66,206,351.38,10441,0.76,588,46.0,3.34,51.9,10,1.53,4.5,13647
2010,Medellín,33.66,206,351.38,10441,0.76,588,46.0,3.59,50.1,10,1.53,4.5,13647
2010,Nacional,33.66,206,351.38,10441,0.76,588,46.0,,,10,1.53,4.5,13647
2011,Barranquilla,38.01,206,385.93,10153,0.85,643,52.0,1.65,60.4,18,2.99,7.9,26804
2011,Bogotá,38.01,206,385.93,10153,0.85,643,52.0,16.16,68.4,18,2.99,7.9,26804
2011,Bucaramanga,38.01,206,385.93,10153,0.85,643,52.0,1.46,46.2,18,2.99,7.9,26804
2011,Cali,38.01,206,385.93,10153,0.85,643,52.0,3.83,59.5,18,2.99,7.9,26804
2011,Medellín,38.01,206,385.93,10153,0.85,643,52.0,3.82,53.4,18,2.99,7.9,26804
2011,Nacional,38.01,206,385.93,10153,0.85,643,52.0,,,18,2.99,7.9,26804
2012,Barranquilla,40.85,213,419.95,10281,0.91,704,55.9,1.75,64.1,23,3.39,8.3,30529
2012,Bogotá,40.85,213,419.95,10281,0.91,704,55.9,17.2,72.8,23,3.39,8.3,30529
2012,Bucaramanga,40.85,213,419.95,10281,0.91,704,55.9,1.56,49.4,23,3.39,8.3,30529
2012,Cali,40.85,213,419.95,10281,0.91,704,55.9,4.16,64.6,23,3.39,8.3,30529
2012,Medellín,40.85,213,419.95,10281,0.91,704,55.9,3.83,53.5,23,3.39,8.3,30529
2012,Nacional,40.85,213,419.95,10281,0.91,704,55.9,,,23,3.39,8.3,30529
2013,Barranquilla,43.28,244,442.43,10223,0.95,790,59.2,1.86,68.1,17,2.17,5.0,19598
2013,Bogotá,43.28,244,442.43,10223,0.95,790,59.2,17.86,75.6,17,2.17,5.0,19598
2013,Bucaramanga,43.28,244,442.43,10223,0.95,790,59.2,2.01,63.6,17,2.17,5.0,19598
2013,Cali,43.28,244,442.43,10223,0.95,790,59.2,4.32,67.1,17,2.17,5.0,19598
2013,Medellín,43.28,244,442.43,10223,0.95,790,59.2,3.91,54.6,17,2.17,5.0,19598
2013,Nacional,43.28,244,442.43,10223,0.95,790,59.2,,,17,2.17,5.0,19598
2014,Barranquilla,46.53,274,465.67,10009,1.01,870,63.6,2.13,78.0,28,2.21,4.7,19054
2014,Bogotá,46.53,274,465.67,10009,1.01,870,63.6,18.1,76.6,28,2.21,4.7,19054
2014,Bucaramanga,46.53,274,465.67,10009,1.01,870,63.6,2.18,69.0,28,2.21,4.7,19054
2014,Cali,46.53,274,465.67,10009,1.01,870,63.6,4.5,69.9,28,2.21,4.7,19054
2014,Medellín,46.53,274,465.67,10009,1.01,870,63.6,4.06,56.7,28,2.21,4.7,19054
2014,Nacional,46.53,274,465.67,10009,1.01,870,63.6,,,28,2.21,4.7,19054
2015,Barranquilla,58.8,338,558.99,9506,1.22,935,80.4,2.55,93.4,36,3.45,5.9,28215
2015,Bogotá,58.8,338,558.99,9506,1.22,935,80.4,20.63,87.3,36,3.45,5.9,28215
2015,Bucaramanga,58.8,338,558.99,9506,1.22,935,80.4,2.77,87.7,36,3.45,5.9,28215
2015,Cali,58.8,338,558.99,9506,1.22,935,80.4,5.49,85.2,36,3.45,5.9,28215
2015,Medellín,58.8,338,558.99,9506,1.22,935,80.4,5.2,72.6,36,3.45,5.9,28215
2015,Nacional,58.8,338,558.99,9506,1.22,935,80.4,,,36,3.45,5.9,28215
